name,region,country,created_date_local,date,created_date_utc,date_epoch,maxtemp_c,maxtemp_f,mintemp_c,mintemp_f,avgtemp_c,avgtemp_f,maxwind_mph,maxwind_kph,totalprecip_mm,totalprecip_in,totalsnow_cm,avgvis_km,avgvis_miles,avghumidity,daily_will_it_rain,daily_chance_of_rain,daily_will_it_snow,daily_chance_of_snow,text,code,uv
Bangkok,Krung Thep,Thailand,2024-10-07T09:01:00.000000,2024-10-07,2024-10-07T02:01:00.000000+0000,1728259200,32.9,91.2,25.5,78.0,28.7,83.7,6.7,10.8,1.09,0.04,0.0,10.0,6.0,72.0,true,86,false,0,Patchy rain nearby,1063,10.0
Bangkok,Krung Thep,Thailand,2024-10-07T09:01:00.000000,2024-10-08,2024-10-07T02:01:00.000000+0000,1728345600,32.2,89.9,25.7,78.2,28.7,83.7,7.2,11.5,7.81,0.31,0.0,9.8,6.0,71.0,true,89,false,0,Moderate rain,1189,9.0
Bangkok,Krung Thep,Thailand,2024-10-07T09:01:00.000000,2024-10-09,2024-10-07T02:01:00.000000+0000,1728432000,30.9,87.7,25.8,78.5,27.7,81.9,6.5,10.4,26.8,1.06,0.0,9.4,5.0,79.0,true,87,false,0,Heavy rain,1195,9.0
Bangkok,Krung Thep,Thailand,2024-10-08T09:01:00.000000,2024-10-08,2024-10-08T02:01:00.000000+0000,1728345600,32.2,89.9,25.7,78.2,28.7,83.7,7.2,11.5,7.81,0.31,0.0,9.8,6.0,71.0,true,89,false,0,Moderate rain,1189,9.0
Bangkok,Krung Thep,Thailand,2024-10-08T09:01:00.000000,2024-10-09,2024-10-08T02:01:00.000000+0000,1728432000,30.9,87.7,25.8,78.5,27.7,81.9,6.5,10.4,26.8,1.06,0.0,9.4,5.0,79.0,true,87,false,0,Heavy rain,1195,9.0
Bangkok,Krung Thep,Thailand,2024-10-08T09:01:00.000000,2024-10-10,2024-10-08T02:01:00.000000+0000,1728518400,31.2,88.2,25.6,78.1,28.1,82.6,6.9,11.1,18.4,0.72,0.0,9.6,6.0,76.0,true,88,false,0,Heavy rain,1195,9.0
Chiang Mai,Chiang Mai,Thailand,2024-10-07T09:01:00.000000,2024-10-07,2024-10-07T02:01:00.000000+0000,1728259200,31.1,88.0,20.7,69.3,25.0,76.9,2.7,4.3,4.79,0.19,0.0,7.3,4.0,84.0,true,89,false,0,Patchy rain nearby,1063,10.0
Chiang Mai,Chiang Mai,Thailand,2024-10-07T09:01:00.000000,2024-10-08,2024-10-07T02:01:00.000000+0000,1728345600,31.7,89.1,20.5,68.8,24.9,76.8,4.3,6.8,2.39,0.09,0.0,7.9,4.0,83.0,true,88,false,0,Patchy rain nearby,1063,10.0
Chiang Mai,Chiang Mai,Thailand,2024-10-07T09:01:00.000000,2024-10-09,2024-10-07T02:01:00.000000+0000,1728432000,31.6,88.9,20.6,69.2,24.8,76.6,3.8,6.1,5.19,0.2,0.0,6.7,4.0,85.0,true,89,false,0,Moderate rain,1189,10.0
Hat Yai,Songkhla,Thailand,2024-10-07T09:01:00.000000,2024-10-07,2024-10-07T02:01:00.000000+0000,1728259200,28.2,82.8,23.2,73.8,25.3,77.6,6.7,10.8,7.48,0.29,0.0,8.5,5.0,87.0,true,87,false,0,Moderate rain,1189,8.0
Hat Yai,Songkhla,Thailand,2024-10-07T09:01:00.000000,2024-10-08,2024-10-07T02:01:00.000000+0000,1728345600,31.2,88.2,23.5,74.2,26.7,80.0,5.6,9.0,8.64,0.34,0.0,9.6,5.0,81.0,true,88,false,0,Moderate rain,1189,11.0
Hat Yai,Songkhla,Thailand,2024-10-07T09:01:00.000000,2024-10-09,2024-10-07T02:01:00.000000+0000,1728432000,31.4,88.4,23.8,74.9,26.6,79.9,3.6,5.8,13.12,0.52,0.0,9.4,5.0,81.0,true,87,false,0,Moderate rain,1189,11.0
Pattaya,Chon Buri,Thailand,2024-10-07T09:01:00.000000,2024-10-07,2024-10-07T02:01:00.000000+0000,1728259200,30.6,87.1,25.9,78.7,28.1,82.6,9.2,14.8,7.34,0.29,0.0,9.6,5.0,75.0,true,96,false,0,Moderate rain,1189,10.0
Pattaya,Chon Buri,Thailand,2024-10-07T09:01:00.000000,2024-10-08,2024-10-07T02:01:00.000000+0000,1728345600,29.8,85.6,25.3,77.5,27.6,81.6,9.8,15.8,27.37,1.08,0.0,9.0,5.0,79.0,true,87,false,0,Heavy rain,1195,10.0
Pattaya,Chon Buri,Thailand,2024-10-07T09:01:00.000000,2024-10-09,2024-10-07T02:01:00.000000+0000,1728432000,29.7,85.5,25.7,78.2,27.5,81.6,5.8,9.4,2.92,0.12,0.0,9.9,6.0,77.0,true,89,false,0,Patchy rain nearby,1063,11.0
Phuket,Phuket,Thailand,2024-10-07T09:01:00.000000,2024-10-07,2024-10-07T02:01:00.000000+0000,1728259200,28.2,82.7,25.3,77.6,26.7,80.1,11.6,18.7,4.56,0.18,0.0,9.3,5.0,80.0,true,88,false,0,Patchy rain nearby,1063,11.0
Phuket,Phuket,Thailand,2024-10-07T09:01:00.000000,2024-10-08,2024-10-07T02:01:00.000000+0000,1728345600,29.0,84.2,25.4,77.8,27.3,81.1,6.9,11.2,9.62,0.38,0.0,9.7,6.0,78.0,true,88,false,0,Moderate rain,1189,11.0
Phuket,Phuket,Thailand,2024-10-07T09:01:00.000000,2024-10-09,2024-10-07T02:01:00.000000+0000,1728432000,28.9,84.0,26.3,79.4,27.6,81.7,6.0,9.7,1.3,0.05,0.0,9.8,6.0,73.0,true,88,false,0,Patchy rain nearby,1063,11.0
