name,region,country,created_date_local,created_date_utc,forecast_date,current_temp_last_updated,current_temp_c,uv,forecast_avgtemp_c,forecast_maxtemp_c,forecast_mintemp_c,day_diff,forecast_current_temp_diff,daily_chance_of_rain,daily_chance_of_snow,forecast_maxwind_kph
Bangkok,Krung Thep,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-07,2024-10-07T09:00:00.000000,29.3,10.0,28.7,32.9,25.5,0,0.6,86,0,10.8
Bangkok,Krung Thep,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-08,2024-10-07T09:00:00.000000,29.3,9.0,28.7,32.2,25.7,1,,89,0,11.5
Bangkok,Krung Thep,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-09,2024-10-07T09:00:00.000000,29.3,9.0,27.7,30.9,25.8,2,,87,0,10.4
Chiang Mai,Chiang Mai,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-07,2024-10-07T09:00:00.000000,26.2,10.0,25.0,31.1,20.7,0,1.2,89,0,4.3
Chiang Mai,Chiang Mai,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-08,2024-10-07T09:00:00.000000,26.2,10.0,24.9,31.7,20.5,1,,88,0,6.8
Chiang Mai,Chiang Mai,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-09,2024-10-07T09:00:00.000000,26.2,10.0,24.8,31.6,20.6,2,,89,0,6.1
Phuket,Phuket,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-07,2024-10-07T09:00:00.000000,28.2,11.0,26.7,28.2,25.3,0,1.5,88,0,18.7
Phuket,Phuket,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-08,2024-10-07T09:00:00.000000,28.2,11.0,27.3,29.0,25.4,1,,88,0,11.2
Phuket,Phuket,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-09,2024-10-07T09:00:00.000000,28.2,11.0,27.6,28.9,26.3,2,,88,0,9.7
Pattaya,Chon Buri,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-07,2024-10-07T08:45:00.000000,26.9,10.0,28.1,30.6,25.9,0,-1.2,96,0,14.8
Pattaya,Chon Buri,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-08,2024-10-07T08:45:00.000000,26.9,10.0,27.6,29.8,25.3,1,,87,0,15.8
Pattaya,Chon Buri,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-09,2024-10-07T08:45:00.000000,26.9,11.0,27.5,29.7,25.7,2,,89,0,9.4
Hat Yai,Songkhla,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-07,2024-10-07T09:00:00.000000,25.4,8.0,25.3,28.2,23.2,0,0.1,87,0,10.8
Hat Yai,Songkhla,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-08,2024-10-07T09:00:00.000000,25.4,11.0,26.7,31.2,23.5,1,,88,0,9.0
Hat Yai,Songkhla,Thailand,2024-10-07,2024-10-07T02:01:00.000000+0000,2024-10-09,2024-10-07T09:00:00.000000,25.4,11.0,26.6,31.4,23.8,2,,87,0,5.8
